subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, Terrorism and the victimization it causes violate human rights and established norms of human dignity and personal security that is mandatory for _____ existence in any society.(A) luxurious(B) sophisticated(C) harmonious(D) peaceful(E) amicable(F) comfortable ,,,,,,5,4,C and E,F and E,B and c,C and D,A and D
,,, We were so _____ after the arduous journey that we were ready to devour anything we could lay our hands on.(A) famished(B) hungry(C) ravenous(D) greedy(E) voracious(F) avaricious ,,,,,,5,3,A and B,B and E,A and C,B and D,B and F
,,," _____ under the scourge of violence and militancy for the past 18 years, Jammu and Kashmir has endured widespread death and destruction.(A) Roiling(B) Reeling(C) Shaking(D) Venting(E) Erupting(F) Reeking ",,,,,,5,2,A and B,B and C,B and E,E and F,C and E
,,," Jobs in call centers are highly _____ leading to alarming consequences like hypertension, insomnia, coronary malfunctions among the young employees.(A) stressful(B) laborious(C) taxing(D) dangerous(E) vexatious(F) distressing ",,,,,,5,1,A and C,A and B,B and D,D and E,E and F
,,, The police were forced to open tear gas shells on the _____ mob.(A) obdurate(B) docile(C) recalcitrant(D) steadfast(E) dogged(F) languid ,,,,,,5,3,A and E,C and E,A and C,B and C,E and F
,,," Several villages, which were _____ by the deluge, were cut-off from the rest of the civilization.(A) swamped(B) marred(C) submerged(D) inundated(E) stranded(F) marooned ",,,,,,5,3,A and C,D and F,C and D,E and B,B and D
,,, He reached an agreement with the union through negotiations and thus was able to _____ a possible strike.(A) prevent(B) avert(C) deflect(D) oppose(E) confront(F) revert ,,,,,,5,2,D and E,A and B,A and C,C and F,E and F
,,, Most adults think that children who have behavioural problems can be disciplined with _____ punishment.(A) corporal(B) physical(C) corporeal(D) verbal(E) psychological(F) mild ,,,,,,5,4,B and E,D and F,A and C,A and B,B and E
,,," Human nature is full of contradictions: there is so much pose in the sincere, baseness in the noble and goodness in the _____.(A) reprobate(B) incorrigible(C) primitive(D) superficial(E) unoriginal(F) Inactive ",,,,,,5,1,A and B,B and C,C and D,D and E,E and F
,,, The desire for _____ is one of the most deeply related instincts of a civilized man.(A) revilement(B) euphoria(C) euphony(D) approval(E) approbation(F) umbrage ,,,,,,5,3,A and F,B and E,D and E,C and D,B and C
,,, Communities should be self-reliant but this self-reliance does not mean _____ because the need to trade results in the interdependence of communities.(A) secrecy(B) isolation(C) lankiness(D) barrenness(E) seclusion(F) solitude ,,,,,,5,2,A and C,B and E,D and F,C and E,A and B
,,," Secularism on the one hand, can be seen as a positive freedom to hold any or no religious faith and on the other hand, it imposes _____ that prohibits the state from taking certain legal actions.(A) anathema(B) taboo(C) maledictions(D) limitations(E) restrictions(F) censure ",,,,,,5,4,A and B,A and C,C and F,D and E,B and F
,,," One is always considered a/an _____ in any foreign country, irrespective of the number of years he has lived there.(A) amateur(B) threat(C) alien(D) menace(E) outsider(F) ally ",,,,,,5,3,A and F,B and D,C and E,E and F,B and C
,,, Some writers believe that poetry can bring about _____ changes in a person's way of thinking and behaviour as does a well-reasoned social or political treatise.(A) radical(B) extrimsic(C) moderate(D) acquired(E) fundamental(F) natural ,,,,,,5,5,B and C,A and B,C and E,D and F,A and E
,,," She went ahead with dogged determination, _____by the adversities which came her way and ultimately emerged successful.(A) over-awed(B) unintimidated(C) dismayed(D) undaunted(E) unalarmed(F) incapacitated ",,,,,,5,2,A and C,B and C,E and F,B and C,B and E
,,, Jane was a hard core feminist and a/an _____ campaigner for women's issues.(A) indefatigable(B) relentless(C) irregular(D) indifferent(E) sluggish(F) fallacious ,,,,,,5,4,A and B,B and D,C and F,E and F,C and E
,,, The decorations in the house spoke of her exquisite taste and _____.(A) crudeness(B) discernment(C) acumen(D) prudence(E) judiciousness(F) pragmatism ,,,,,,5,2,A and D,B and C,B and F,C and E,D and E
,,, Being driven by constant strife and unrest. Iraq is now a picture of gloom and _____.(A) affluence(B) commotion(C) despondency(D) dispiritedness(E) frenzy(F) distrust ,,,,,,5,3,A and B,B and C,C and D,E and F,D and E
,,," Overpopulation and exploitation of natural resources is dramatically increasing the vulnerability of modern society to natural _____ such as earthquakes, floods and voicanic eruptions.(A) disruptions(B) tumults(C) disasters(D) catastrophes(E) phenomena(F) upheavals ",,,,,,5,4,A and F,E and F,B and C,C and D,D and B
,,, His excellent academic credentials suggest that he is ____ the most suitable candidate for the job.(A) abominably(B) undoubtedly(C) lucidly(D) tenaciously(E) indubitably(F) necessarily ,,,,,,5,5,E and F,C and D,B and F,A and B,B and E
,,, Being a strong adherent of _____ and modesty he resents any ostentatious display of wealth.(A) grandeur(B) thrift(C) frugality(D) flamboyance(E) extravagance(F) humbleness ,,,,,,5,2,A and D,B and C,C and F,A and E,D and E
,,, The rioters acts of _____ and vandalism were strongly condemned by all political parties.(A) brutality(B) incendiarism(C) arson(D) delinquency(E) cruelty(F) barbarism ,,,,,,5,3,A and F,A and E,B and C,D and E,C and F
,,, For close to 60 years now India and China have viewed each other with _____. but in the past decade there was a marked thaw with both sides deciding not to allow the vexatious border issue to hold up their relationship.(A) surprise(B) mistrust(C) bravura(D) suspicion(E) contempt(F) angst ,,,,,,5,4,A and C,B and E,E and F,B and D,C and E
,,, A person should be _____ for what he is and not for what community or religion he belongs to.(A) respected(B) admired(C) considered(D) honoured(E) valued(F) revered ,,,,,,5,1,A and E,D and E,B and C,D and F,C and D
,,, The planning and management of natural resources is becoming increasingly complex as the _____ human population places increasing demands on the shrinking resources.(A) prospering(B) burgeoning(C) developing(D) flourishing(E) expanding(F) diverse ,,,,,,5,2,A and D,B and E,C and D,C and F,D and F
,,, It is surprising to note that his latest publication has attracted very little public attention because generally his writings are prone to _____.(A) fracas(B) denials(C) tributes(D) defects(E) controversies(F) disputation ,,,,,,5,5,A and D,A and B,C and D,A and E,E and F
